TransactionAmount,TransactionDuration,AccountBalance,TransactionGap,CustomerAge_Bin,TransactionType,Channel,CustomerOccupation,Target
14.089999999999975,81.0,5112.21,-49477134.0,Old,Debit,ATM,Doctor,0
376.24,141.0,13758.91,-42823516.0,Old,Debit,ATM,Doctor,2
126.29000000000002,56.0,1122.3500000000004,-41694656.0,Young,Debit,Online,Student,4
184.5,25.0,8569.06,-47403415.0,Young,Debit,Online,Student,0
13.449999999999989,198.0,7429.4,-33228915.0,Middle,Credit,Online,Student,3
92.15,172.0,781.6800000000003,-50165495.0,Young,Debit,ATM,Student,4
7.079999999999984,139.0,13316.71,-54228801.0,Middle,Credit,ATM,Doctor,0
171.42,291.0,2796.24,-47139776.0,Old,Credit,Branch,Retired,3
106.23000000000002,86.0,9095.14,-51289888.0,Middle,Credit,Branch,Engineer,0
815.96,120.0,1021.8799999999997,-50428775.0,Middle,Debit,ATM,Doctor,1
17.78000000000003,59.0,7599.52,-51895235.0,Middle,Credit,Online,Engineer,0
190.02,173.0,1528.81,-55003032.0,Young,Debit,Online,Student,4
494.52,111.0,1620.02,-44549230.0,Young,Credit,Branch,Student,4
781.76,123.0,189.6899999999996,-30209271.0,Young,Debit,ATM,Student,1
166.99,134.0,299.9300000000003,-54400572.0,Young,Debit,Online,Student,4
465.45,129.0,3465.54,-28309728.0,Middle,Debit,ATM,Engineer,3
555.8,158.0,1131.2600000000002,-32022886.0,Young,Credit,Branch,Student,1
492.93,234.0,5109.97,-28129177.0,Middle,Debit,Online,Engineer,3
18.680000000000007,106.0,7948.37,-53709311.0,Old,Credit,Branch,Retired,0
71.48000000000002,169.0,6568.59,-44459430.0,Young,Credit,Online,Student,4
59.31999999999999,38.0,5750.89,-53105546.0,Old,Debit,Branch,Retired,0
85.76999999999998,93.0,9146.19,-38929002.0,Middle,Debit,Branch,Doctor,2
52.19999999999999,120.0,8974.93,-44629966.0,Middle,Debit,Online,Engineer,0
345.84,142.0,1402.5,-47655678.0,Young,Debit,Online,Student,4
145.54,96.0,1930.96,-52932193.0,Young,Debit,Online,Student,4
7.490000000000009,276.0,3634.67,-32883391.0,Old,Credit,Online,Retired,3
246.93,158.0,673.3500000000004,-48958477.0,Young,Debit,ATM,Student,4
40.31999999999999,95.0,2686.52,-50599761.0,Middle,Debit,Branch,Engineer,0
127.44999999999999,197.0,1772.06,-56130770.0,Middle,Debit,Online,Doctor,0
56.170000000000016,283.0,1351.69,-35478768.0,Young,Debit,Branch,Student,4
28.310000000000002,20.0,8334.47,-41091595.0,Old,Credit,Online,Doctor,0
59.120000000000005,257.0,9823.64,-55006954.0,Young,Debit,ATM,Doctor,3
396.45,168.0,9690.15,-35048713.0,Middle,Debit,ATM,Engineer,2
877.81,150.0,399.0,-51979466.0,Young,Debit,Online,Student,1
255.26,50.0,14815.869999999999,-32282882.0,Middle,Credit,Branch,Doctor,2
124.75999999999999,45.0,5764.72,-33233607.0,Middle,Debit,Branch,Engineer,3
78.13,145.0,900.6099999999997,-30122014.0,Young,Debit,Branch,Student,4
649.28,137.0,4875.86,-52928263.0,Old,Debit,ATM,Retired,1
795.31,90.0,7914.88,-33577417.0,Old,Debit,ATM,Doctor,1
335.63,216.0,1019.3899999999999,-56127012.0,Middle,Debit,Online,Retired,3
